JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,RawCopyIn,Demux,HadoopJob,Merge,RawCopyOut,Job,JobRun
409e1e7a-9d50-46de-bd13-fe217298c34,j-3NVL7T69ZDYQX,2,4,0,0,0,0,0,0,0,0
626b8df9-e879-4e2b-b988-663e1e6ad86,j-3NVL7T69ZDYQX,4,4,0,0,0,0,0,0,0,0
626b8df9-e879-4e2b-b988-663e1e6ad86,j-3NVL7T69ZDYQX,4,4,1,211,159,1140,56,86,1656,0
626b8df9-e879-4e2b-b988-663e1e6ad86,j-3NVL7T69ZDYQX,4,4,2,211,199,1133,78,80,1703,0
626b8df9-e879-4e2b-b988-663e1e6ad86,j-3NVL7T69ZDYQX,4,4,3,218,255,1219,130,88,1917,0
626b8df9-e879-4e2b-b988-663e1e6ad86,j-3NVL7T69ZDYQX,4,4,4,226,841,1420,0,0,0,0
d4f8071c-fa6f-4e19-bc81-e583d17cb44,j-3NVL7T69ZDYQX,6,4,0,0,0,0,0,0,0,0
d4f8071c-fa6f-4e19-bc81-e583d17cb44,j-3NVL7T69ZDYQX,6,4,1,218,282,1884,71,63,2521,0
d4f8071c-fa6f-4e19-bc81-e583d17cb44,j-3NVL7T69ZDYQX,6,4,2,267,292,1489,93,78,2222,0
d4f8071c-fa6f-4e19-bc81-e583d17cb44,j-3NVL7T69ZDYQX,6,4,3,200,329,1229,134,84,1980,0
d4f8071c-fa6f-4e19-bc81-e583d17cb44,j-3NVL7T69ZDYQX,6,4,4,211,987,641,0,0,1840,0
